,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Published At,Compound Sentiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"If You Invested $10,000 In Tesla Stock 10 Years Ago, How Much Would You Have Now? - Yahoo Finance",2025-01-19,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"RDA Financial Network Acquires Shares of 820 Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.296
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Border to Coast Pensions Partnership Ltd Acquires Shares of 88,449 Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.296
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Tesla, Inc. (NASDAQ:TSLA) is Lauer Wealth LLC's Largest Position - MarketBeat",2025-01-19,0.4939
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Decker Retirement Planning Inc. Acquires Shares of 11,222 Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.296
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cvfg LLC Buys New Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Tesla, Inc. (NASDAQ:TSLA) Shares Purchased by Empirical Asset Management LLC - MarketBeat",2025-01-19,0.5719
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"KMG Fiduciary Partners LLC Reduces Stock Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"245,041 Shares in Tesla, Inc. (NASDAQ:TSLA) Acquired by Avanza Fonder AB - MarketBeat",2025-01-19,0.296
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Merit Financial Group LLC Sells 941 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.6124
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Wealthcare Advisory Partners LLC Sells 2,989 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.296
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Relyea Zuckerberg Hanson LLC Buys 612 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.296
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"Everpar Advisors LLC Has $3.58 Million Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"Tesla, Inc. (NASDAQ:TSLA) Shares Purchased by Procyon Advisors LLC - MarketBeat",2025-01-19,0.296
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"Householder Group Estate & Retirement Specialist LLC Trims Stock Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-19,0.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,Burning Teslas in LA add to toxic mix hindering California wildfire cleanup,2025-01-18,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"Legacy Wealth Asset Management LLC Buys 1,984 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.7845
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"Financial Enhancement Group LLC Makes New $672,000 Investment in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"Guardian Financial Partners LLC Takes Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"Tesla, Inc. (NASDAQ:TSLA) Shares Sold by Shulman DeMeo Asset Management LLC - MarketBeat",2025-01-18,0.5719
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,"BFI Infinity Ltd. Buys New Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Sicart Associates LLC Sells 761 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.296
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Mason & Associates Inc Has $4.80 Million Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,"Gateway Investment Advisers LLC Sells 12,767 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.296
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,"Ritholtz Wealth Management Buys 3,512 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.6597
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,"Towerpoint Wealth LLC Buys New Stake in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.4939
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,"Sanders Morris Harris LLC Increases Stock Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,"Omega Financial Group LLC Purchases New Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,"Tallon Kerry Patrick Buys New Stake in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-18,0.0
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,Tesla’s stock is surging ahead of Trump’s inauguration. What matters after that. - MarketWatch,2025-01-17,0.0258
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,"Tesla Stock 'Valuation Is Full': Analyst Flags Long-Term Growth Opportunities With Robotaxis, FSD - Yahoo Finance",2025-01-17,0.6369
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Is Tesla Stock A Buy Or A Sell Amid Donald Trump's White House Return And Q4 Earnings? - Investor's Business Daily,2025-01-17,0.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,"Tesla, Inc. (TSLA): Why Are Hedge Funds Bullish On This Revenue Growth Stock? - Yahoo Finance",2025-01-17,0.3818
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,"Tesla Stock Jumps as Investors Bet on Energy, AI, and More - Yahoo Finance",2025-01-17,0.2732
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Tesla and Intel Lead Market Cap Stock Movers on Friday - Investing.com,2025-01-17,0.0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,"Tesla, Inc. (NASDAQ:TSLA) Shares Bought by West Financial Advisors LLC - MarketBeat",2025-01-17,0.296
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,"Brendel Financial Advisors LLC Reduces Stock Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-17,0.0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Magnificent Seven Stocks To Buy And Watch - Investor's Business Daily,2025-01-17,0.5994
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,"Tesla, Inc. (NASDAQ:TSLA) is BluePath Capital Management LLC's 3rd Largest Position - MarketBeat",2025-01-17,0.0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,"Surience Private Wealth LLC Acquires New Position in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-17,0.4939
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,"Wolff Wiese Magana LLC Purchases 987 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-17,0.296
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,Tesla: Aiming For The Moon (NASDAQ:TSLA) - Seeking Alpha,2025-01-17,0.0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,"Connective Portfolio Management LLC Invests $2.42 Million in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-17,0.0
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,Tesla (NASDAQ:TSLA) Shares Up 4.4% - Should You Buy? - MarketBeat,2025-01-17,0.296
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,"Tesla, Inc. (NASDAQ:TSLA) Shares Sold by Moseley Investment Management Inc. - MarketBeat",2025-01-16,0.296
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,"Floyd Financial Group LLC Buys New Shares in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,0.296
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,"Avity Investment Management Inc. Makes New Investment in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,0.0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,"Oak Thistle LLC Makes New $3.02 Million Investment in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,0.0
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,"Allen Mooney & Barnes Investment Advisors LLC Raises Stake in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,0.0
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,TSLA's Quantum Leap. How Technology is Steering Tesla's Stocks! - Jomfruland.net,2025-01-16,0.0
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Ignite Planners LLC Cuts Holdings in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,-0.296
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,"Kathmere Capital Management LLC Buys 2,203 Shares of Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,0.296
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,"Define Financial LLC Makes New $286,000 Investment in Tesla, Inc. (NASDAQ:TSLA) - MarketBeat",2025-01-16,0.0
